file,notice,paragraph_id,zone,label,status,candidate,concept_uri,detail
AdlFI_PACA_2023_prepared.xml,Allemagne-en-Provence – Église Notre-Dame,p5,subjects,église,indexed_exact,,https://ark.frantiq.fr/ark:/26678/pcrtoV7zLJpAfX,
AdlFI_PACA_2023_prepared.xml,Allemagne-en-Provence – Église Notre-Dame,p5,subjects,sépulture à inhumation,indexed_exact,,https://ark.frantiq.fr/ark:/26678/pcrt8p3mfhtf65,
AdlFI_PACA_2023_prepared.xml,Allemagne-en-Provence – Église Notre-Dame,p5,subjects,sépulture d’immature,indexed_typographic,sépulture d'immature,https://ark.frantiq.fr/ark:/26678/pcrtVjzPFoOkpk,
AdlFI_PACA_2023_prepared.xml,Allemagne-en-Provence – Église Notre-Dame,p6,chronology,Moyen Âge classique,indexed_typographic,Moyen Âge classique,https://ark.frantiq.fr/ark:/26678/pcrtAjWBVFSefH,
AdlFI_PACA_2023_prepared.xml,Allemagne-en-Provence – Église Notre-Dame,p6,chronology,époque moderne,indexed_exact,,https://ark.frantiq.fr/ark:/26678/pcrtPSEEZSBEJp,
AdlFI_PACA_2023_prepared.xml,Allemagne-en-Provence – Église Notre-Dame,p9,fieldwork_method,fouille programmée,indexed_exact,,https://ark.frantiq.fr/ark:/26678/crtSrWQs2w2KV,
AdlFI_PACA_2023_prepared.xml,Allemagne-en-Provence – Notre-Dame nord,p20,subjects,habitat,indexed_exact,,https://ark.frantiq.fr/ark:/26678/pcrtbptj4SOA1W,
AdlFI_PACA_2023_prepared.xml,Allemagne-en-Provence – Notre-Dame nord,p20,subjects,maison,indexed_exact,,https://ark.frantiq.fr/ark:/26678/pcrtaGBUR5Ekx1,
AdlFI_PACA_2023_prepared.xml,Allemagne-en-Provence – Notre-Dame nord,p20,subjects,fosse,indexed_exact,,https://ark.frantiq.fr/ark:/26678/pcrtms2OAv82PY,
AdlFI_PACA_2023_prepared.xml,Allemagne-en-Provence – Notre-Dame nord,p20,subjects,trou de poteau,indexed_exact,,https://ark.frantiq.fr/ark:/26678/pcrtFnKonRZjWY,
AdlFI_PACA_2023_prepared.xml,Allemagne-en-Provence – Notre-Dame nord,p20,subjects,structure de combustion,indexed_exact,,https://ark.frantiq.fr/ark:/26678/pcrtJUwAaZ7Nz9,
AdlFI_PACA_2023_prepared.xml,Allemagne-en-Provence – Notre-Dame nord,p20,subjects,four,indexed_exact,,https://ark.frantiq.fr/ark:/26678/pcrtIqEHwJLuq0,
AdlFI_PACA_2023_prepared.xml,Allemagne-en-Provence – Notre-Dame nord,p24,fieldwork_method,fouille programmée,indexed_exact,,https://ark.frantiq.fr/ark:/26678/crtSrWQs2w2KV,
AdlFI_PACA_2023_prepared.xml,La Brillanne – Le village 1,p34,subjects,paléochenal,indexed_exact,,https://ark.frantiq.fr/ark:/26678/pcrtiMWSFc5fJ2,
AdlFI_PACA_2023_prepared.xml,La Brillanne – Le village 1,p34,subjects,mur,indexed_exact,,https://ark.frantiq.fr/ark:/26678/pcrtIxHmbVwDYW,
AdlFI_PACA_2023_prepared.xml,La Brillanne – Le village 1,p35,chronology,époque moderne,indexed_exact,,https://ark.frantiq.fr/ark:/26678/pcrtPSEEZSBEJp,
AdlFI_PACA_2023_prepared.xml,La Brillanne – Le village 1,p35,chronology,époque contemporaine,indexed_exact,,https://ark.frantiq.fr/ark:/26678/pcrt59R77d1H15,
AdlFI_PACA_2023_prepared.xml,La Brillanne – Le village 1,p39,fieldwork_method,opération de diagnostic,indexed_exact,,https://ark.frantiq.fr/ark:/26678/pcrtWWQS75V5Bc,
AdlFI_PACA_2023_prepared.xml,Castellane – Notre-Dame-du-Roc,p47,subjects,chapelle castrale,indexed_exact,,https://ark.frantiq.fr/ark:/26678/pcrtRiXsvRp8uK,
AdlFI_PACA_2023_prepared.xml,Castellane – Notre-Dame-du-Roc,p48,chronology,Moyen Âge classique,indexed_typographic,Moyen Âge classique,https://ark.frantiq.fr/ark:/26678/pcrtAjWBVFSefH,
